Store,Department,Space,Category,Calculation Group,Product,Date,QTY,Price,Original_Ind
Store_1,Text_0,Text_0,A,A,Product_1,2023-01-01,7,39.16,Text_0
Store_2,Text_1,Text_1,B,B,Product_2,2023-01-02,20,24.28,Text_1
Store_3,Text_2,Text_2,C,C,Product_3,2023-01-03,38,20.5,Text_2
Store_4,Text_3,Text_3,A,A,Product_4,2023-01-04,3,73.71,Text_3
Store_5,Text_4,Text_4,B,B,Product_5,2023-01-05,37,49.75,Text_4
Store_1,Text_5,Text_5,C,C,Product_6,2023-01-06,2,66.47,Text_5
Store_2,Text_6,Text_6,A,A,Product_7,2023-01-07,47,79.56,Text_6
Store_3,Text_7,Text_7,B,B,Product_8,2023-01-08,17,1.63,Text_7
Store_4,Text_8,Text_8,C,C,Product_9,2023-01-09,4,29.56,Text_8
Store_5,Text_9,Text_9,A,A,Product_10,2023-01-10,3,3.12,Text_9
Store_1,Text_10,Text_10,B,B,Product_11,2023-01-11,26,10.21,Text_10
Store_2,Text_11,Text_11,C,C,Product_12,2023-01-12,14,97.31,Text_11
Store_3,Text_12,Text_12,A,A,Product_13,2023-01-13,49,3.43,Text_12
Store_4,Text_13,Text_13,B,B,Product_14,2023-01-14,5,87.63,Text_13
Store_5,Text_14,Text_14,C,C,Product_15,2023-01-15,33,5.92,Text_14
Store_1,Text_15,Text_15,A,A,Product_16,2023-01-16,28,16.41,Text_15
Store_2,Text_16,Text_16,B,B,Product_17,2023-01-17,31,81.2,Text_16
Store_3,Text_17,Text_17,C,C,Product_18,2023-01-18,43,44.17,Text_17
Store_4,Text_18,Text_18,A,A,Product_19,2023-01-19,45,73.31,Text_18
Store_5,Text_19,Text_19,B,B,Product_20,2023-01-20,7,57.72,Text_19
Store_1,Text_20,Text_20,C,C,Product_21,2023-01-21,2,33.61,Text_20
Store_2,Text_21,Text_21,A,A,Product_22,2023-01-22,20,26.34,Text_21
Store_3,Text_22,Text_22,B,B,Product_23,2023-01-23,31,5.36,Text_22
Store_4,Text_23,Text_23,C,C,Product_24,2023-01-24,6,41.94,Text_23
Store_5,Text_24,Text_24,A,A,Product_25,2023-01-25,6,18.71,Text_24
Store_1,Text_25,Text_25,B,B,Product_26,2023-01-26,38,72.97,Text_25
Store_2,Text_26,Text_26,C,C,Product_27,2023-01-27,48,94.36,Text_26
Store_3,Text_27,Text_27,A,A,Product_28,2023-01-28,40,56.04,Text_27
