Store,Department,Space,Category,Product,Date,Price,QTY
Store_1,Text_0,Text_0,A,Product_1,2023-01-01,48.7,22
Store_2,Text_1,Text_1,B,Product_2,2023-01-02,10.65,36
Store_3,Text_2,Text_2,C,Product_3,2023-01-03,97.57,37
Store_4,Text_3,Text_3,A,Product_4,2023-01-04,72.07,28
Store_5,Text_4,Text_4,B,Product_5,2023-01-05,45.3,12
Store_1,Text_5,Text_5,C,Product_6,2023-01-06,71.19,35
Store_2,Text_6,Text_6,A,Product_7,2023-01-07,20.82,23
Store_3,Text_7,Text_7,B,Product_8,2023-01-08,17.17,33
Store_4,Text_8,Text_8,C,Product_9,2023-01-09,21.34,15
Store_5,Text_9,Text_9,A,Product_10,2023-01-10,58.91,33
Store_1,Text_10,Text_10,B,Product_11,2023-01-11,57.79,12
Store_2,Text_11,Text_11,C,Product_12,2023-01-12,12.39,47
Store_3,Text_12,Text_12,A,Product_13,2023-01-13,35.33,44
Store_4,Text_13,Text_13,B,Product_14,2023-01-14,89.13,13
Store_5,Text_14,Text_14,C,Product_15,2023-01-15,77.33,16
Store_1,Text_15,Text_15,A,Product_16,2023-01-16,11.45,18
Store_2,Text_16,Text_16,B,Product_17,2023-01-17,6.05,22
Store_3,Text_17,Text_17,C,Product_18,2023-01-18,24.6,1
Store_4,Text_18,Text_18,A,Product_19,2023-01-19,58.8,43
Store_5,Text_19,Text_19,B,Product_20,2023-01-20,92.05,10
Store_1,Text_20,Text_20,C,Product_21,2023-01-21,23.84,37
Store_2,Text_21,Text_21,A,Product_22,2023-01-22,92.97,9
Store_3,Text_22,Text_22,B,Product_23,2023-01-23,47.99,6
Store_4,Text_23,Text_23,C,Product_24,2023-01-24,96.99,1
Store_5,Text_24,Text_24,A,Product_25,2023-01-25,90.35,2
Store_1,Text_25,Text_25,B,Product_26,2023-01-26,6.42,11
Store_2,Text_26,Text_26,C,Product_27,2023-01-27,45.24,6
Store_3,Text_27,Text_27,A,Product_28,2023-01-28,92.9,32
